GSE,Title,Samples,PDAT,Technology
GSE324675,Parity-conditioned Hedgehog/VDR-linked NanoString profiling of histologically normal human breast tissue (BC360),74,2026/03/17,Microarray
GSE320321,Baseline NanoString IO360/BC360 expression in longitudinal midlife benign breast biopsies (ARLI pace cohort),162,2026/02/28,Microarray
GSE320268,Expression analysis of baseline tissue samples from KRAS G12C–mutant patients and longitudinal blood monitoring during treatment with KRAS G12C inhibitors,98,2026/02/28,Microarray
GSE320266,Expression analysis in plasma sample from KRAS G12C–mutant patients monitoring during treatment with KRAS G12C inhibitors,62,2026/02/28,Microarray
GSE290002,Confirmation of CDK8/19 inhibitor selectivity and activity in colorectal cancer [in vitro],54,2026/02/20,Microarray
GSE319500,Predictability of progression free survival in ovarian cancer,70,2026/02/17,Microarray
GSE283593,DEAH-BOX HELICASE 8 IS A REGULATOR OF HEAT SHOCK FACTOR 1 [DHX8-HSF1 KD],77,2026/02/17,Microarray
GSE317455,Transcriptional pathways of localized early prostate cancer,102,2026/01/31,Microarray
GSE317424,Transcriptional PanCancer pathways of localized early prostate cancer,51,2026/01/31,Microarray
GSE317416,Transcriptional Cancer Immune pathways of localized early prostate cancer,51,2026/01/31,Microarray
GSE297461,AML PATIENTS WITH WILDTYPE TP53 AND DEFECTIVE TP53-MEDIATED APOPTOSIS HAVE A DISMAL SURVIVAL,60,2026/01/07,Microarray
GSE237290,Immune gene expression profiling to inform individualized treatment of early-stage basal-like breast cancer,57,2025/12/31,Microarray
GSE313289,Understanding tumor heterogeneity in HNSCC by gene-expression,100,2025/12/15,Microarray
GSE216724,Colon Cancer Patient-Derived Spheroids and their Stem Cell-Intrinsic mRNA Expression Yield Novel Prognostic Signatures,64,2025/10/27,Microarray
GSE236055,Colonic mucosal gene expression profile associated with neoplastic progression in longstanding ulcerative colitis,143,2025/10/20,Microarray
GSE309652,Clinically relevant metabolic subtypes of lung cancer for immunotherapy,72,2025/09/30,Microarray
GSE303203,Identification of a shared drug-tolerant persister program in triple-negactive breast cancer across treatments and patients [array],59,2025/09/22,Microarray
GSE280418,A novel lymphoma-associated macrophage interaction signature (LAMIS) provides robust risk prognostication in diffuse large B-cell lymphoma clinical trial cohorts of the DSHNHL,330,2025/09/06,Microarray
GSE302555,Gene expression in muscle invasive and non-muscle invasive bladder cancer cell lines exposed to hypoxia,72,2025/09/03,Microarray
GSE302048,CDKN2A deletion remodels immune infiltrate in Diffuse Pleural Mesothelioma,82,2025/09/03,Microarray
GSE224644,Clinical testing of transcriptome-wide expression classifiers in high-risk localized and metastatic prostate cancer starting androgen deprivation therapy in the STAMPEDE abiraterone and docetaxel Phase 3 trials,1531,2025/08/27,Microarray
GSE129274,Imaging Studies of Local Responses of Prostate Cancer to Radiation Therapy,60,2025/08/25,Microarray
GSE211484,A novel t(5;7)(q31;q21/CDK6::IL3 in immature T-cell acute lymphoblastic leukemia with IL3 overexpression and reactive eosinophilia,98,2025/08/11,Microarray
GSE211476,A novel t(5;7)(q31;q21/CDK6::IL3 in immature T-cell acute lymphoblastic leukemia with IL3 overexpression and reactive eosinophilia [WTE],96,2025/08/11,Microarray
GSE289059,Tumor immune microenvironment-associated prognostic and mifamurtide-response gene signatures for localized osteosarcoma: a correlative study of the ISG/OS2 trial,62,2025/07/23,Microarray
GSE271719,Transcriptome profiling of colorectal cancer and paired normal tissues using Affymetrix HGU133-X3P arrays,98,2025/07/21,Microarray
GSE277607,NanoString BC360 gene signatures in luminal breast cancer,220,2025/07/17,Microarray
GSE277272,Comprehensive profiling of RNAs enriched in small extracellular vesicles of colorectal cancer patients,150,2025/07/07,Microarray
GSE298296,Impact of molecular androgen and estrogen response scores on outcomes following neoadjuvant pembrolizumab in muscle-invasive bladder cancer,102,2025/06/04,Microarray
GSE267846,Plasma fatty acids depletion: a metabolic signature related to colon cancer,107,2025/05/28,Microarray
GSE261107,NanoCMSer: A Clinically Applicable Stratification Tool for Stratification of Colorectal Cancer Samples [III],113,2025/05/22,Microarray
GSE261104,NanoCMSer: A Clinically Applicable Stratification Tool for Stratification of Colorectal Cancer Samples [II],74,2025/05/22,Microarray
GSE173154,Transcriptome regulated by ENG and MMP14 in Ewing sarcoma cells,53,2025/05/01,Microarray
GSE149959,DNA methylome and transcriptome landscapes of cancer-associated fibroblasts reveal a smoking-associated malignancy index,130,2025/05/01,Microarray
GSE149955,DNA methylome and transcriptome landscapes of cancer-associated fibroblasts reveal a smoking-associated malignancy index,50,2025/05/01,Microarray
GSE265870,Immune-based changes in gene expression determine clinical efficacy of CDK4/6i in metastatic breast cancer,63,2025/04/25,Microarray
GSE273595,Gene-expression profiling of a polyostotic-DLBCL and primary bone-DLBCL cohort compared to a nodal DLBCL GCB.,93,2025/04/22,Microarray
GSE282443,Topical TLR7 agonist and radiotherapy in patients with metastatic breast cancer,84,2025/04/16,Microarray
GSE279135,Bone marrow CD34+/lin- cells of patients with Chronic Phase- Chronic Myeloid Leukemia (CP-CML) after 12 months of nilotinib treatment exhibit a different expression signature compared to the diagnosis and the same cells from healthy subjects,168,2025/04/02,Microarray
GSE146996,Genome-wide mRNA profile of human gastric normal and gastric cancer tissues,65,2025/04/01,Microarray
GSE261554,Targeting Vdac2 overcomes immunotherapy resistance by inducing tumor cell death and inflammation,180,2025/03/19,Microarray
GSE198328,Gene expression and variation in Bladder Carcinoma,126,2025/03/07,Microarray
GSE198303,Bladder Carcinoma gene expression data,63,2025/03/07,Microarray
GSE283367,BMI-Associated Gene Expression Profiles in Adipose Tissue of Japanese Individuals,176,2025/03/03,Microarray
GSE126935,Tumor-reactive T cells in HNSCC patients are directed against cancer-associated fibroblasts,50,2025/02/14,Microarray
GSE15284,The FISHGASTRO study: gene expression profiles in human colonic biopsies following a 6 month fish intervention,56,2025/02/01,Microarray
GSE245132,Gene expression profiling of HER2-positive breast cancer samples collected at baseline and at surgery from patients who did not achieve pathological complete response after trastuzumab-based neoadjuvant biochemotherapy.,64,2025/01/29,Microarray
GSE213609,Proteogenomic profiling of thymic and pulmonary neuroendocrine neoplasia.,53,2024/12/31,Microarray
GSE239832,Aberrant BCAT1 expression augments mTOR activity and accelerates disease progression in Chronic Lymphocytic leukemia,117,2024/12/23,Microarray
GSE252168,Robust messenger RNA (mRNA) markers in blood for lung cancer diagnosis,303,2024/12/10,Microarray
GSE190042,Integration between MCL1 gene co-expression module and the Revised International Staging System enables precise prognostication and prediction of response to proteasome inhibitor-based therapy in individual multiple myeloma,93,2024/12/01,Microarray
GSE276561,Identifying bone marrow microenvironmental alterations in multiple myeloma and its precursor conditions using whole bone marrow biopsies,997,2024/11/22,Microarray
GSE254875,Multidimensional analysis of patient-matched primary and recurrent glioblastoma identifies microglial FCGR1A (CD64) and other FCGRs as contributors of tumor recurrence,147,2024/11/18,Microarray
GSE280643,Differential KEAP1/NRF2-mediated signaling widens the therapeutic window of redox-targeting drugs in SCLC therapy,74,2024/11/11,Microarray
GSE218438,Structure Activity Relationship Read Across and Transcriptomics for Branched Carboxylic Acids,636,2024/11/01,Microarray
GSE244647,NSCLC and HNSCC patients,176,2024/10/04,Microarray
GSE244645,Expression data from platelets from early NSCLC and HNSCC patients in tumour presence and tumor free samples,69,2024/10/04,Microarray
GSE244631,Identification of tumor-agnostic biomarkers for predicting prostate cancer progression and biochemical recurrence,51,2024/10/03,Microarray
GSE235574,Comprehensive profiling and targeting of BCL-2 family members in nasopharyngeal carcinoma,69,2024/10/01,Microarray
GSE249568,Gene expression from paired biopsies from a patient with METex14 skiping non-small cell lung cancer before and after treatment with neoadjuvant tepotinib (42 days),94,2024/09/27,Microarray
GSE274220,Tumor immune microenvironmental characteristics in Human Epidermal Growth Factor-2 (HER2) positive esophageal adenocarcinoma: a comparative analysis and biomarker study,84,2024/09/01,Microarray
GSE203024,Gene Expression Data from Human Peripheral Blood,2845,2024/08/31,Microarray
GSE248619,Prognostic implication of blood immune cell composition in Metastatic Castration-Resistant Prostate Cancer (mCRPC),100,2024/08/02,Microarray
GSE252029,Guselkumab reduces disease- and mechanism-related biomarkers more than adalimumab in patients with psoriasis: a VOYAGE 1 substudy,181,2024/07/31,Microarray
GSE214094,Epigenetic activation of SOX11 is associated with recurrence and progression of DCIS to invasive breast cancer,54,2024/07/17,Microarray
GSE199633,"Gene expression data for 637 human primary breast tumors with recurrence, ER/PR/HER2 status, and overall survival",637,2024/06/07,Microarray
GSE21359,Association of CXCL14 in the Human Airway Epithelium with Chronic Obstructive Lung Disease and Lung Cancer,135,2024/06/05,Microarray
GSE226231,Capturing totipotency in human cells through spliceosomal repression,112,2024/05/30,Microarray
GSE244123,Olfactory neuroblastoma mimics molecular subtypes and lineage trajectories of small cell lung cancer,103,2024/05/15,Microarray
GSE244117,Olfactory neuroblastoma mimics molecular subtypes and lineage trajectories of small cell lung cancer [Spatial transcriptomics on de-identified human ONB samples],96,2024/05/15,Microarray
GSE198432,An epigenetic gene signature underlies phenotype switching in early stage melanomas.,300,2024/05/08,Microarray
GSE198431,An epigenetic gene signature underlies phenotype switching in early stage melanomas [Nanostring_sample3],82,2024/05/08,Microarray
GSE198430,An epigenetic gene signature underlies phenotype switching in early stage melanomas [nanotstring_sample2],124,2024/05/08,Microarray
GSE243973,Circulating monocyte counts coupled with a 4-gene signature at leukapheresis predict survival of lymphoma patients treated with CAR T,85,2024/04/24,Microarray
GSE230151,Cancer treatment with radiation-chemotherapy rapidly induces molecular pathways for both resistance and new therapeutic targets,74,2024/04/10,Microarray
GSE241101,Gene expression profiling of multiregional primary colorectal cancer tissue samples,286,2024/04/04,Microarray
GSE261305,C3G signal in native and allograft,108,2024/03/18,Microarray
GSE248835,Impact of Tumor Microenvironment on Efficacy of CD19 CAR T-Cell Therapy or Chemotherapy and Transplant in Large B-Cell Lymphoma,256,2024/02/26,Microarray
GSE228783,Inter-patient heterogeneity in the hepatic ischemia-reperfusion injury transcriptome: implications for research and diagnostics,152,2024/02/21,Microarray
GSE228782,Inter-patient heterogeneity in the hepatic ischemia-reperfusion injury transcriptome: implications for research and diagnostics [MUG data],83,2024/02/21,Microarray
GSE228781,Inter-patient heterogeneity in the hepatic ischemia-reperfusion injury transcriptome: implications for research and diagnostics [EMC data],69,2024/02/21,Microarray
GSE227756,NanoString immune profiling of pediatric brain tumors,571,2024/02/19,Microarray
GSE241224,Gene expression profiling of malignant peripheral nerve sheath tumors (MPNSTs) and benign neurofibroma tissue samples.,79,2024/02/13,Microarray
GSE244984,Molecular patterns of resistance to immune checkpoint blockade in melanoma,78,2024/02/06,Microarray
GSE253531,Verification of Molecular Subtyping of Bladder Cancer in the GUSTO Clinical Trial,54,2024/01/18,Microarray
GSE249262,Circulating tumor cell analysis from stage III lung cancer patients,76,2024/01/18,Microarray
GSE153316,Gene expression profiles of adipose tissue adjacent to and distant from breast cancer,82,2024/01/15,Microarray
GSE234138,Capturing the dynamic interactions between tumor and immune components of the tumor micro-environment is important for determining efficacy of anti-PD1 treatment,114,2024/01/09,Microarray
GSE234136,Capturing the dynamic interactions between tumor and immune components of the tumor micro-environment is important for determining efficacy of anti-PD1 treatment [Post Culture_Metadata],91,2024/01/09,Microarray
GSE245953,Gene expression data from muscle-invasive bladder cancer samples II,310,2023/12/31,Microarray
GSE212549,Expression profiling in R/M HNSCC treated with immunotherapy (training set),80,2023/12/31,Microarray
GSE248381,Pathway level subtyping identifies a slow-cycling biological phenotype associated with poor clinical outcomes in colorectal cancer.,258,2023/12/12,Microarray
GSE244266,"Association of Molecular Subtypes with Pathologic Response, PFS and OS in a Phase II Study of Coexpression Extrapolation (COXEN) with Neoadjuvant Chemotherapy (NAC) for Localized, Muscle-Invasive Bladder Cancer (SWOG S1314; NCT02177695)",189,2023/11/28,Microarray
GSE239409,PDGFRβ signaling cooperates with β-catenin to modulate c-Abl and biologic behavior of desmoid-type fibromatosis,107,2023/11/01,Microarray
GSE237692,PDGFRβ signaling cooperates with β-catenin to modulate c-Abl and biologic behavior of desmoid-type fibromatosis [microarray],85,2023/10/31,Microarray
GSE245735,Stem cell technology provides novel tools to understand the impact of human variation on malaria,100,2023/10/21,Microarray
GSE234017,Spatial Transcriptomics Suggests That Alterations 4 Occur in the Preneoplastic Breast Microenvironment of 5 Q2 BRCA1/2 Mutation Carriers,142,2023/10/11,Microarray
GSE229598,Expression of retinoblatoma,114,2023/10/11,Microarray
GSE181339,Study of the usefulness of human peripheral blood mononuclear cells for the analysis of metabolic recovery after weight loss (METAHEALTH-TEST),78,2023/10/11,Microarray
GSE208102,Gene expression profile of luminal breast cancer samples from FFPE sample of primary luminal breast cancer from patient who had a loco-regional recurrence,111,2023/09/15,Microarray
GSE208101,Gene expression profile of luminal breast cancer samples from FFPE sample of primary luminal breast cancer from patient who had a loco-regional recurrence [cohort B],51,2023/09/15,Microarray
GSE207847,Gene expression profile of luminal breast cancer samples from FFPE sample of primary luminal breast cancer from patient who had a loco-regional recurrence [cohort A],60,2023/09/15,Microarray
GSE222054,Targeted gene expression panel for meningiomas,1202,2023/09/06,Microarray
GSE76246,Identification of HIV1-specific cascaded microRNA-mRNA regulatory relationships by parallel mRNA and microRNA expression profiling with AIDS patients after antiviral treatment,74,2023/08/31,Microarray
GSE236924,SIRPa agonist antibody treatment ameliorates experimental arthritis and colitis [array],132,2023/08/24,Microarray
GSE222073,Patterns of metastasis and recurrence in urothelial cancer molecular subtypes,146,2023/08/24,Microarray
GSE196033,Identification and subsequent validation of transcriptomic signature associated with metabolic status in endometrial cancer,87,2023/08/24,Microarray
GSE156309,Gene expression of 61 FFPE tissues of DLBCL patients at high-risk (aaIPI 2 or 3),61,2023/08/16,Microarray
GSE235356,Expression data of plasma cell from MGUS patients,358,2023/08/15,Microarray
GSE233616,Transcription factor expression repertoire basis for epigenetic and transcriptional subtypes of colorectal cancers,188,2023/08/09,Microarray
GSE233602,Affymetrix array expression data from colon polyps,61,2023/08/09,Microarray
GSE225328,Transcriptome profiling in early-stage luminal breast cancer,192,2023/08/02,Microarray
GSE153230,Integrated copy number and transcriptomic profiling reveal novel oncogenic drivers and clinically significant biomarkers in adenoid cystic carcinoma,137,2023/08/02,Microarray
GSE211445,C99R mutation in IRF4 drives a novel gain of function binding and gene upregulation in classical Hodgkin lymphoma,63,2023/07/19,Microarray
GSE237249,Consensus molecular subtype transition during progression of colorectal cancer,72,2023/07/13,Microarray
GSE200133,Revealing and harnessing CD39 for the treatment of colorectal cancer and liver metastases by engineered T cells,137,2023/07/12,Microarray
GSE200131,Revealing and harnessing CD39 for the treatment of colorectal cancer and liver metastases by engineered T cells [NanoString],58,2023/07/12,Microarray
GSE236725,The 31 pairs of FF and FFPE data for the development of 72GC for FFPE in 2014,62,2023/07/11,Microarray
GSE235475,Trackable Intratumor Microdosing and Spatial Profiling Provide Early Insights into Activity of Investigational Agents in the Intact Tumor Microenvironment,354,2023/06/28,Microarray
GSE225787,Combinatorial blood platelets-derived circRNA and mRNA signature for early-stage lung cancer,120,2023/06/23,Microarray
GSE235067,"Predictive signature of response to neoadjuvant chemotherapy in muscle-invasive bladder cancer integrating mRNA expression, taxonomic subtypes, and clinicopathological features",84,2023/06/20,Microarray
GSE234686,The 31 pairs of FF (fresh frozen) andFFPE (Formalin-fixed paraffin-embedded) data for the application of 95GC to FFPE in 2019.,62,2023/06/16,Microarray
GSE234114,The Validation set of the genomic nodal index (GNI) in 2014,120,2023/06/09,Microarray
GSE233909,The second Validation set of the 95GC in 2013.,56,2023/06/03,Microarray
GSE212070,Molecular subtypes of head and neck cancer – Prognostic impact and correlations with morphological characteristics,103,2023/06/01,Microarray
GSE200864,Definition and prognostic impact of Ph-like and IKZF1plus features in children with Down Syndrome Acute Lymphoblastic Leukaemia,64,2023/05/31,Microarray
GSE233251,The Validation Set for the initial development of the 95GC in 2011.,105,2023/05/28,Microarray
GSE230881,IRSN-23 Prospective Analyses,263,2023/05/19,Microarray
GSE61883,Distinct molecular profiles for histological subtypes of epithelial ovarian adenocarcinomas,90,2023/05/18,Microarray
GSE231629,Microarray gene expression profiles from female ER-positive HER2-normal breast cancer patients,109,2023/05/09,Microarray
GSE39144,"Expression data of human induced pluripotent stem cells (hiPSCs), human embryonic stem cells (hESCs) and those differentiated cells.",77,2023/05/09,Microarray
GSE208103,Gene expression profile of FFPE samples collected with translational purposes from the MITO16/MaNGO-OV2 clinical trial,196,2023/04/19,Microarray
GSE226461,C/EBPα confers dependence to fatty acid anabolic pathways and vulnerability to lipid oxidative stress-induced ferroptosis in FLT3-mutant leukemia,66,2023/04/03,Microarray
GSE211486,"Integrated miRNAs profiling, DNA methylation, and RNA expression in gastroenteropancreatic neuroendocrine neoplasias",271,2023/03/31,Microarray
GSE211485,"Integrated miRNAs profiling, DNA methylation, and RNA expression in gastroenteropancreatic neuroendocrine neoplasias [mRNA]",63,2023/03/31,Microarray
GSE40492,Molecular Markers for Predicting Treatment Outcome in Patients with Rectal Cancer: A Comprehensive Analysis from the German Rectal Cancer Trials,245,2023/03/31,Microarray
GSE201525,Investigation of the anti-tumour properties of interferon epsilon in high grade serous ovarian cancer,96,2023/03/28,Microarray
GSE147163,Molecular subtypes in gastric cancer. [III],50,2023/03/18,Microarray
GSE224883,Explore the role of RHAMM in invasion/metastasis of breast cancer,94,2023/03/17,Microarray
GSE180395,Glomerular and Tubular Transcriptome in the Cprobe Cohort,121,2023/03/09,Microarray
GSE180394,Tubular Transcriptome in the Cprobe Cohort,59,2023/03/09,Microarray
GSE180393,Glomerular Transcriptome in the Cprobe Cohort,62,2023/03/09,Microarray
GSE226289,Expression data for Vanderbilt triple-negative breast cancer subtype classification,147,2023/03/04,Microarray
GSE172159,mRNA expression profiles of 223 cancer cell lines including newly established ones,223,2023/02/21,Microarray
GSE212245,Transcriptomic alterations underlying metaplasia into specific metaplastic components in metaplastic breast carcinoma,60,2023/01/31,Microarray
GSE223606,Nanostring analysis of medulloblastoma samples using the PanCancer Immune Profile Nanostring Panel,83,2023/01/29,Microarray
GSE216333,Predictors of success in establishing orthotopic patient-derived xenograft models of triple negative breast cancer,207,2023/01/12,Microarray
GSE222124,"Gene expression alterations in the cell lines Jurkat, THP1, and KHYG-1 upon treatment with glycodelin from non-small-cell lung cancer cell line supernatant",70,2023/01/09,Microarray
GSE203149,Gene expression data from muscle-invasive bladder cancer samples,171,2022/12/31,Microarray
GSE171597,miRNA expression in LGCIN outcomes,51,2022/12/31,Microarray
GSE159848,Expression data from 50 mixoid liposarcomas,50,2022/12/31,Microarray
GSE159847,Expression data from 87 complex sarcomas,87,2022/12/31,Microarray
GSE120490,Improving Risk Assessment for Metastatic Disease in Endometrioid Endometrial Cancer Patients Using Molecular and Clinical Features: an NRG Oncology / Gynecologic Oncology Group Study,145,2022/12/30,Microarray
GSE206912,Identification of a minimum number of genes to predict triple negative breast cancer subgroups from gene expression profiles,72,2022/12/24,Microarray
GSE220150,"Transcriptomics of colorectal cancer in Siriraj cohort, Thailand",172,2022/12/07,Microarray
GSE220149,"Transcriptomics of colorectal cancer in Siriraj cohort, Thailand (NanoString)",58,2022/12/07,Microarray
GSE183795,"Microarray gene-expression profiles of 139 pancreatic tumor,102 adjacent non-tumor tissue from patients with pancreatic ductal adenocarcinoma and 3 normal pancreas from donors.",244,2022/12/01,Microarray
GSE189631,Landscape of immune-related signatures induced by targeting of epigenetic regulators in melanoma IV,107,2022/11/23,Microarray
GSE201468,A clinical-grade HLA haplobank of human induced pluripotent stem cells derived from Japanese donors,391,2022/11/15,Microarray
GSE212114,Expression of TCF3 target genes defines a subclass of diffuse large B-cell lymphoma characterized by up-regulation of MYC target genes and poor clinical outcome following R-CHOP therapy,58,2022/11/10,Microarray
GSE214540,The g3mclass is a practical software for multiclass classification on biomarkers,251,2022/11/09,Microarray
GSE211576,Novel prognostic implications of complement activation in the tumor microenvironment for de novo metastatic BRAF V600E mutant colorectal cancer,54,2022/11/08,Microarray
GSE197147,"Gene expression-based dissection of inter-histotype, in-tra-histotype and intra-tumor heterogeneity in pediatric tumors",79,2022/11/02,Microarray
GSE210661,Smoking modulates different secretory subpopulations expressing SARS-CoV-2 entry genes in the nasal and bronchial airways,1434,2022/10/25,Microarray
GSE210272,Smoking modulates different secretory subpopulations expressing SARS-CoV-2 entry genes in the nasal and bronchial airways (BCLHS bronchial brushings),238,2022/10/25,Microarray
GSE210271,Smoking modulates different secretory subpopulations expressing SARS-CoV-2 entry genes in the nasal and bronchial airways (AEGIS nasal brushings),505,2022/10/25,Microarray
GSE215868,Baseline gene expression profiling determines long-term benefit to programmed cell death protein 1 axis blockade,105,2022/10/21,Microarray
GSE212902,Histological subtypes drive distinct prognostic immune signatures in classical Hodgkin lymphoma.,66,2022/10/10,Microarray
GSE171447,MLL3 loss drives metastasis and therapeutic resistance by promoting a hybrid EMT state,54,2022/10/07,Microarray
GSE138300,Gene expression of 50 FFPE tissues of adults with T-cell lymphoblastic lymphoma,50,2022/10/01,Microarray
GSE197977,Tumour immune contexture is a determinant of anti-CD19 CAR T-cell efficacy in large B cell lymphoma,74,2022/09/23,Microarray
GSE185507,An immunological signature to predict outcome in patients with triple-negative breast cancer patients with residual disease after neoadjuvant chemotherapy,115,2022/09/20,Microarray
GSE209875,MicroRNA and mRNA expression profiles of hepatobiliary tumor patients' tissue together with those of non-tumor part tissues and serum exosomes.,80,2022/09/16,Microarray
GSE176100,IMMUNE SENESCENCE PHENOTYPES PREDICT CHEMOTHERAPY RESISTANCE IN ACUTE MYELOID LEUKAEMIA,95,2022/09/16,Microarray
GSE198103,Expression data for tumor and normal tissue samples from deceased sepsis and non-sepsis colorectal cancer patients,55,2022/09/01,Microarray
GSE181962,PDX bank from urothelial cancer to guide precision medicine.,54,2022/08/31,Microarray
GSE171053,Gene expression data of serially sorted primary AML patient blasts prior and after treatment with the DNMT inhibitor decitabine (DAC),133,2022/08/31,Microarray
GSE212047,Opposing Roles of Hepatic Stellate Cell Subpopulations in Hepatocarcinogenesis,64,2022/08/26,Microarray
GSE203611,Gene expression profiling of mucinous ovarian tumors and comparison with upper and lower gastrointestinal tumors,604,2022/08/26,Microarray
GSE211729,"Adipose-enriched peri-tumoral stroma, in contrast to myofibroblast-enriched stroma, prognosticates poorer survival in breast cancers.",126,2022/08/22,Microarray
GSE205270,Chromothripsis is a frequent event and underlies typical genetic changes in early T-cell precursor lymphoblastic leukemia in adults,108,2022/08/17,Microarray
GSE205265,Chromothripsis is a frequent event and underlies typical genetic changes in early T-cell precursor lymphoblastic leukemia in adults [gene expression],68,2022/08/17,Microarray
GSE211098,Expression patterns of microRNAs and associated target genes in ulcerated primary cutaneous melanoma,80,2022/08/13,Microarray
GSE210648,Integrated multi-omics reveals cellular and molecular interactions governing the invasive niche of basal cell carcinoma (Digital Spatial Profiling),95,2022/08/06,Microarray
GSE183088,TRIM28 keeps the time of mitotic gene expression sustaining proliferation and progression of Malignant Pleural Mesothelioma (MPM).,86,2022/08/03,Microarray
GSE209954,Genomic testing in early localized prostate cancer may define subsets of African Americans with aggressive disease—a prospective study,226,2022/07/29,Microarray
GSE208180,Expression of microRNAs and their target genes in melanomas originating from gynecologic sites,81,2022/07/16,Microarray
GSE47994,"Tumor-infiltrating lymphocytes, prognosis and trastuzumab benefit in early-stage breast cancer patients from the FinHER trial",337,2022/07/16,Microarray
GSE175616,Clinical study of the effect of combined treatment of aspirin and zileuton on biomarkers of tobacco-related carcinogenesis in current smokers,123,2022/06/29,Microarray
GSE206613,A novel gene signature unveils three distinct immune-metabolic rewiring patterns conserved across diverse tumor types and associated with outcome,77,2022/06/26,Microarray
GSE206793,MicroRNA (miRNA) expression from blood plasma of patients with a prostate cancer,152,2022/06/24,Microarray
GSE174570,Cabozantinib enhances anti-PD1 efficacy and elicits a neutrophil-based immune response in murine models: implications for human HCC,114,2022/06/15,Microarray
GSE199759,Integrative analysis of expression profile in the glioma-related epilepsy,50,2022/06/07,Microarray
GSE205209,PLK3 amplification and tumor immune microenvironment of metastatic tumors are linked to adjuvant treatment outcomes in uterine serous cancer,60,2022/06/01,Microarray
GSE164706,Gene expression profiling of newly diagnosed multiple myeloma patients included in the HOVON95 clinical trial,240,2022/06/01,Microarray
GSE164703,Gene expression profiling of newly diagnosed plasma cell leukemia patients included in the HOVON129 clinical trial,57,2022/06/01,Microarray
GSE164701,Gene expression profiling of newly diagnosed multiple myeloma patients included in the HOVON131 clinical trial,109,2022/06/01,Microarray
GSE156030,Normalisation-free Gene Expression Survival Classification for Melanoma,105,2022/05/30,Microarray
GSE196096,I-SPY2-990 mRNA/RPPA Data Resource,1724,2022/05/25,Microarray
GSE194040,I-SPY2-990 mRNA/RPPA Data Resource: mRNA component,988,2022/05/25,Microarray
GSE200879,Transcriptomics biomarkers in prostate cancer,137,2022/05/18,Microarray
GSE202806,Transcriptomic analyses of NF1-mutant melanoma,52,2022/05/12,Microarray
GSE199618,BCG therapy downregulates HLA-I on malignant cells to subvert antitumor immune responses in bladder cancer,58,2022/05/05,Microarray
GSE202043,Integrative Genomic Analysis of Medulloblastoma Identiﬁes a Molecular Subgroup That Drives Poor Clinical Outcome,214,2022/05/03,Microarray
GSE201805,Transcriptional profiling of primary prostate tumor in metastatic hormonesensitive prostate cancer and association with clinical outcomes: correlative analysis of the E3805 CHAARTED study,160,2022/05/01,Microarray
GSE201583,Predicting Relapse in Patients With Medulloblastoma by Integrating Evidence From Clinical and Genomic Feature,111,2022/04/28,Microarray
GSE199135,Clinical Relevance of estrogen reactivity in the breast cancer microenvironment,112,2022/04/26,Microarray
GSE178631,A prognostic hypoxia gene signature with low heterogeneity within the dominant tumour lesion in prostate cancer patients.,141,2022/04/01,Microarray
GSE168466,Molecular classification of histological origin of NSCLC,98,2022/04/01,Microarray
GSE67614,Gene expression analysis in high risk head and neck squamous cell carcinoma treated with post-operative radiotherapy,102,2022/03/16,Microarray
GSE197802,Colorectal Cancer Concurrent Gene Signature Based on Coherent Patterns between Genomic and Transcriptional Alterations,88,2022/03/15,Microarray
GSE198269,Predictive biomarkers for survival benefit with ramucirumab in urothelial cancer in the RANGE trial,394,2022/03/14,Microarray
GSE128311,MicroRNA and mRNA regulatory network in ALK-rearranged lung adenocarcinoma,154,2022/03/14,Microarray
GSE128309,MicroRNA and mRNA regulatory network in ALK-rearranged lung adenocarcinoma [mRNA],77,2022/03/14,Microarray
GSE169754,miR-22 and miR-205 drive tumor aggressiveness of mucoepidermoid carcinomas of salivary glands,70,2022/03/03,Microarray
GSE196723,Gene expression profiles from female BasL breast cancer patients,170,2022/02/14,Microarray
GSE148346,JAK3/TEC and TYK2/JAK1 inhibitors demonstrate significant improvement in scalp alopecia areata biomarkers,129,2022/01/25,Microarray
GSE193150,Transcripts associated with chronic lung allograft dysfunction in transbronchial biopsies of lung transplants,949,2022/01/09,Microarray
GSE183136,Development and Validation of a Prognostic and Predictive 32-Gene Signature for Gastric Cancer,135,2022/01/01,Microarray
GSE192817,Cellular plasticity upon proton irradiation determines tumor cell radiosensitivity,52,2021/12/31,Microarray
GSE156354,Inter-cellular machinery governing formation of a pro-metastatic vascular niche during breast cancer colonization in lungs,63,2021/12/31,Microarray
GSE44589,Gene expression-based imatinib response prediction in chronic phase CML,198,2021/12/31,Microarray
GSE186537,Gene expression analysis of the bone marrow microenvironment reveals distinct immunotypes in smoldering multiple myeloma associated to progression to symptomatic disease,72,2021/12/15,Microarray
GSE190275,TP53 signature predicts survival outcome in triple-negative breast cancer with neoadjuvant chemotherapy,60,2021/12/10,Microarray
GSE186102,"Neoadjuvant eribulin in HER2-negative early-stage breast cancer (SOLTI-1007-NeoEribulin): a multicenter, two-cohort, non-randomized phase II trial",473,2021/12/10,Microarray
GSE186582,Expression data from intestinal mucosa of patients with Crohn disease,489,2021/12/05,Microarray
GSE162956,Distinct miR Expression Signatures of Primary and Secondary CNS Lymphomas,73,2021/11/29,Microarray
